Time Voltmeter Voltmeter
Run 1, started 02/05/2025 14:50:51
hh:mm:ss mV mV
00:03:17 47.75 775.41
00:03:18 47.75 775.41
00:03:19 47.73 775.39
00:03:20 47.73 775.39
00:03:21 47.7 775.33
00:03:22 47.7 775.33
00:03:23 47.67 775.21
00:03:24 47.67 775.21
00:03:25 47.64 775.03
00:03:26 47.64 775.03
00:03:27 47.62 774.92
00:03:28 47.62 774.92
00:03:29 47.58 775.1
00:03:30 47.58 775.1
00:03:31 47.53 775.1
00:03:32 47.53 775.1
00:03:33 47.51 775
00:03:34 47.51 775
00:03:35 47.48 774.93
00:03:36 47.48 774.93
00:03:37 47.46 774.87
00:03:38 47.46 774.87
00:03:39 47.43 774.5
00:03:40 47.43 774.5
00:03:41 47.4 774.73
00:03:42 47.4 774.73
00:03:43 47.38 774.64
00:03:44 47.38 774.64
00:03:45 47.37 774.6
00:03:46 47.37 774.6
00:03:47 47.33 774.31
00:03:48 47.33 774.31
00:03:49 47.31 774.43
00:03:50 47.31 774.43
00:03:51 47.29 774.4
00:03:52 47.29 774.4
00:03:53 47.26 774.44
00:03:54 47.26 774.44
00:03:55 47.23 774.38
00:03:56 47.23 774.38
00:03:57 47.22 774.18
00:03:58 47.22 774.18
00:03:59 47.2 774.13
00:04:00 47.2 774.13
00:04:01 47.17 774.19
00:04:02 47.17 774.19
00:04:03 47.16 774.14
00:04:04 47.16 774.14
00:04:05 47.14 774.15
00:04:06 47.14 774.15
00:04:07 47.12 773.96
00:04:08 47.12 773.96
00:04:09 47.09 773.83
00:04:10 47.09 773.83
00:04:11 47.06 773.79
00:04:12 47.06 773.79
00:04:13 47.04 773.93
00:04:14 47.04 773.93
00:04:15 47.03 773.79
00:04:16 47.03 773.79
00:04:17 47.01 773.54
00:04:18 47.01 773.54
00:04:19 46.99 773.36
00:04:20 46.99 773.36
00:04:21 46.98 773.47
00:04:22 46.98 773.47
00:04:23 46.96 773.34
00:04:24 46.96 773.34
00:04:25 46.94 773.05
00:04:26 46.94 773.05
00:04:27 46.93 773.07
00:04:28 46.93 773.07
00:04:29 46.92 773.09
00:04:30 46.92 773.09
00:04:31 46.9 773.19
00:04:32 46.9 773.19
00:04:33 46.89 773.22
00:04:34 46.89 773.22
00:04:35 46.87 773.24
00:04:36 46.87 773.24
00:04:37 46.85 773.28
00:04:38 46.85 773.28
00:04:39 46.84 773.17
00:04:40 46.84 773.17
00:04:41 46.81 773.12
00:04:42 46.81 773.12
00:04:43 46.79 773.19
00:04:44 46.79 773.19
00:04:45 46.79 773.14
00:04:46 46.79 773.14
00:04:47 46.77 772.94
00:04:48 46.77 772.94
00:04:49 46.75 772.96
00:04:50 46.75 772.96
00:04:51 46.73 773.05
00:04:52 46.73 773.05
00:04:53 46.72 772.9
00:04:54 46.72 772.9
00:04:55 46.71 772.87
00:04:56 46.71 772.87
00:04:57 46.69 772.94
00:04:58 46.69 772.94
00:04:59 46.68 772.66
00:05:00 46.68 772.66
00:05:01 46.67 772.77
00:05:02 46.67 772.77
00:05:03 46.64 772.77
00:05:04 46.64 772.77
